R1,R2,heri,E_t,E_p,E
4.4,0.7,48.0,-8.902205128048081,45.915952131617814,56.223083751043305
4.7,0.9,48.0,-9.79317331907805,-1.0463453145930544,-41.26538390549831
4.4,1.1,48.0,-10.24394450004911,-4.030957322334871,-49.03769264486618
4.7,0.8,48.0,-9.637310502643231,6.201283488771878,-26.14667503302917
4.4,1.2,48.0,-10.448317604372278,-6.54213688056916,-54.87754417862743
4.7,0.7,48.0,-9.452565283630975,18.241765900864266,-1.3267293327953666
4.6,1.2,48.0,-10.529912729805801,-7.319500033627264,-56.75865098647773
4.8,1.2,48.0,-9.457486216968391,-7.231943563208915,-52.293831994291395
4.5,0.7,48.0,-9.59191517427098,34.88037050876301,31.393080320442095
4.7,1.0,48.0,-9.917161764809862,-5.108862624736503,-49.88637230871245
4.6,1.1,48.0,-10.443748703983147,-6.363177303690463,-54.50134942331351
4.5,0.8,48.0,-9.891427579859737,16.622456265380606,-6.320797788677737
4.6,0.9,48.0,-10.145983913971577,1.7096233846386895,-37.16468888660893
4.8,1.1,48.0,-9.416544954583514,-7.2800622851355,-52.22630438860506
4.6,0.8,48.0,-9.94243473012466,10.846094938344322,-18.077549043809995
4.5,0.9,48.0,-10.16337221604772,5.209299365407787,-30.234890133375302
4.6,0.7,48.0,-9.709189263056032,25.737129376851954,12.637501701479778
4.5,1.0,48.0,-10.398447502229828,-1.6249973860103637,-44.84378478094004
4.5,1.2,48.0,-10.72331633180147,-7.068758332636207,-57.030781992478296
4.6,1.0,48.0,-10.314598361030221,-3.620787920895964,-48.49996928591281
4.4,1.0,48.0,-9.973771324555855,0.9677898477530107,-37.9595056027174
4.5,1.1,48.0,-10.58763423707569,-5.4058430274017155,-53.16222300310619
4.8,0.7,48.0,-8.975264862296171,12.154315236140974,-11.592428976902738
4.7,1.1,48.0,-10.007592858572025,-6.967158188577741,-53.96468781144358
4.7,1.2,48.0,-10.063652091892436,-7.355040944879875,-54.964690257329494
4.4,0.8,48.0,-9.288373527058866,23.749541652738117,10.34558919724077
4.8,0.9,48.0,-9.250651390990242,-3.17996340082027,-43.36253236560151
4.8,1.0,48.0,-9.347716520249378,-6.16283344081603,-49.71653296262957
4.4,0.9,48.0,-9.650481309974566,9.606233069906011,-19.389459100086242
4.8,0.8,48.0,-9.12589048029622,2.4963201213395223,-31.510921678505838
4.6,1.1,49.0,-10.535203893959988,-7.1902856844244525,-56.52138694468886
4.6,1.0,49.0,-10.405238415463828,-5.53722103103064,-52.69539572391659
4.4,0.8,49.0,-9.139969922136515,15.068681264529005,-6.422517159488052
4.5,0.8,49.0,-9.880035763198975,9.47036334965378,-20.57941635348834
4.6,0.9,49.0,-10.232749721617438,-1.7824735307367519,-44.495945947943255
4.8,1.0,49.0,-9.508898111234885,-7.109931773971766,-52.25545599288307
4.6,0.8,49.0,-10.023106160748284,4.997054148116149,-30.09831634676084
4.8,1.1,49.0,-9.573579332092777,-7.472291188430972,-53.23889970523305
4.5,0.9,49.0,-10.164159740961622,0.8589921640232205,-38.93865463580005
4.6,0.7,49.0,-9.782200679183006,16.30561517132446,-6.517572374083102
4.8,0.9,49.0,-9.414873267931398,-5.30065603624098,-48.26080514420755
4.5,1.2,49.0,-10.73561678279657,-7.464050727081485,-57.87056858534925
4.5,1.0,49.0,-10.40782814915292,-4.1334974764613435,-49.898307549534366
4.4,0.7,49.0,-8.73209155962104,32.42790329619311,29.927440353902057
4.8,0.7,49.0,-9.141453355725389,5.7877870292868465,-24.990239364327863
4.8,0.8,49.0,-9.291882562916726,-1.321080487803556,-39.809691227274016
4.5,0.7,49.0,-9.566182871698402,23.544358432875015,8.823985378956422
4.7,0.7,49.0,-9.586628402466886,10.463443105458282,-17.41962739895098
4.7,0.9,49.0,-9.930998360388912,-3.8042191340355203,-47.33243170962669
4.4,0.9,49.0,-9.520141208020505,4.241328794742003,-29.597907242598012
4.4,1.1,49.0,-10.132548297231551,-5.757418055320159,-52.04502929956652
4.7,0.8,49.0,-9.774039911688305,1.4538503086660057,-36.18845902942121
4.4,1.0,49.0,-9.856177205510903,-2.2205577143467963,-43.865824250737205
4.7,1.0,49.0,-10.054639165697154,-6.506710176006891,-53.231977014802396
4.5,1.1,49.0,-10.600985767378006,-6.650505347410217,-55.70495376433246
4.4,1.2,49.0,-10.335796903935261,-7.259796222206205,-55.862780060153455
4.7,1.1,49.0,-10.142940490390174,-7.442813278757967,-55.45738851907663
4.7,1.2,49.0,-10.194718223123346,-7.29800405097194,-55.37488099443726
4.6,1.2,49.0,-10.618818346469197,-7.457330094999634,-57.38993357587606
4.8,1.2,49.0,-9.609122753434349,-7.035565563826822,-52.50762214139104
4.8,0.9,50.0,-9.571998006897047,-6.6792189499828964,-51.64642992755398
4.7,1.0,50.0,-10.181556828320026,-7.322224681964144,-55.370676677208394
4.5,1.2,50.0,-10.721945222525392,-7.549063271842897,-57.98590743378736
4.5,1.1,50.0,-10.590538980788551,-7.3737721184734255,-57.109700160101056
4.8,1.1,50.0,-9.723215994192287,-7.395387327880599,-53.68363863253035
4.7,1.1,50.0,-10.267376350879204,-7.565281895222142,-56.2000691939611
4.7,1.2,50.0,-10.314230640011374,-7.075094928848557,-55.40711241774261
4.8,1.0,50.0,-9.662938011053484,-7.563994244788773,-53.77974053379148
4.7,0.9,50.0,-10.058171419485006,-5.71837814792525,-51.669441973790526
4.6,1.1,50.0,-10.610237774788402,-7.578571302234195,-57.598093703622
4.7,0.8,50.0,-9.899792288022581,-2.047152228304185,-43.693473608698696
4.7,0.7,50.0,-9.709618479944766,4.5953561316709965,-29.64776165643707
4.6,0.9,50.0,-10.304208050423767,-4.3101151859154925,-49.837062573526055
4.6,1.0,50.0,-10.480210800131317,-6.785339676076546,-55.49152255267836
4.8,0.7,50.0,-9.301005930814426,1.051977844326757,-35.10006803460419
4.6,1.2,50.0,-10.690229612053372,-7.361101436545141,-57.48312132130377
4.6,0.7,50.0,-9.83922627789434,9.093236114713363,-21.170432882150635
4.8,0.8,50.0,-9.450929992482997,-4.065116456709802,-45.933952883351594
4.6,0.8,50.0,-10.088234796130564,0.60842491092626,-39.136089362669736
4.4,0.8,50.0,-8.96514187095454,8.376825517974794,-19.10691644786857
4.4,0.7,50.0,-8.535440593259409,21.800580934039317,9.459399495040998
4.4,1.2,50.0,-10.18625499564223,-7.588601421797648,-55.922222826164216
4.5,0.7,50.0,-9.519428984203842,14.749741776962765,-8.578232382889837
4.4,0.9,50.0,-9.36224588676123,0.1807793560437858,-37.087424834957346
4.4,1.0,50.0,-9.708851662755478,-4.544151315581985,-47.92370928218588
4.4,1.1,50.0,-9.98831512365723,-6.8838323908858,-53.72092527640052
4.5,1.0,50.0,-10.395030710264109,-5.883154743933119,-53.346432328922674
4.5,0.9,50.0,-10.143944506358821,-2.375587197369896,-45.326952420175076
4.5,0.8,50.0,-9.848059736250434,4.0286945211701095,-31.334849902661517
4.8,1.2,50.0,-9.752830701123457,-6.730048515019007,-52.471419834531844
4.7,1.0,51.0,-10.296901951427571,-7.6886616565752774,-56.56493111886084
4.8,1.2,51.0,-9.887689502793364,-6.370905716670677,-52.29256944451481
4.5,0.8,51.0,-9.794989333022386,-0.06528488546609879,-39.31052710302174
4.4,1.0,51.0,-9.530267336871475,-6.158272698288783,-50.43761474406347
4.6,0.9,51.0,-10.35944461816689,-6.053893939824775,-53.54556635231711
4.6,0.8,51.0,-10.137307333061472,-2.6310446359566413,-45.81131860415917
4.6,1.2,51.0,-10.742310431960505,-7.120317064458504,-57.20987585675903
4.8,1.0,51.0,-9.809048067079857,-7.660276869311929,-54.556746006943285
4.7,0.8,51.0,-10.013943887141068,-4.5577318869763985,-49.17123932251707
4.6,1.0,51.0,-10.538247317483183,-7.4952844098443165,-57.143558089621365
4.4,1.1,51.0,-9.808766942471266,-7.525535411899909,-54.28613859368488
4.5,0.7,51.0,-9.451658531674184,8.002563493908383,-21.80150713887997
4.6,1.1,51.0,-10.6673493423732,-7.648247502511367,-57.96589237451553
4.7,0.7,51.0,-9.82065951207187,0.2207015419844538,-38.84123496431857
4.7,0.9,51.0,-10.17399282270344,-6.944791222224012,-54.58555373526178
4.8,0.9,51.0,-9.72132718906505,-7.462307504261844,-53.80992376478389
4.4,1.2,51.0,-9.996076167444699,-7.634808748378418,-55.25392216653563
4.4,0.9,51.0,-9.175992133677937,-2.8431536834686995,-42.39027590164915
4.8,0.7,51.0,-9.452902256511152,-2.4130043636541814,-42.63761775335297
4.5,1.2,51.0,-10.67970940680243,-7.424985719611868,-57.56880906643346
4.4,0.8,51.0,-8.763687943166588,3.26781229081098,-28.51912719104439
4.8,1.1,51.0,-9.864442139747553,-7.152700345497578,-53.76316924998537
4.5,1.1,51.0,-10.554406327544712,-7.694516324787401,-57.60665795975365
4.7,1.2,51.0,-10.420912360073999,-6.759752328274772,-55.20315409684554
4.8,0.8,51.0,-9.602163667557761,-5.94532968965359,-50.299314049538225
4.6,0.7,51.0,-9.879785386787262,3.6360175885492936,-32.24710637005046
4.5,1.0,51.0,-10.358642032835633,-7.009838908794336,-55.4542459489312
4.4,0.7,51.0,-8.312768042320386,13.528589746565558,-6.193892676150426
4.7,1.1,51.0,-10.37964416493196,-7.450103690032847,-56.418784039793536
4.5,0.9,51.0,-10.101692375552375,-4.713791114045307,-49.834351730300114
4.4,0.7,52.0,-8.064505006070249,7.160128808929585,-17.937762406421825
4.8,0.8,52.0,-9.744887051929254,-7.124679513974115,-53.22890723566525
4.8,1.0,52.0,-9.946287014055997,-7.519964377977885,-54.82507681217976
4.6,1.2,52.0,-10.773060304461978,-6.799685809761286,-56.691612837370485
4.4,1.1,52.0,-9.590971399331465,-7.795985946781002,-53.955857490887865
4.7,0.7,52.0,-9.919221252785064,-2.98080553219188,-45.63849607552402
4.7,0.8,52.0,-10.116001486196183,-6.26568735006731,-52.99538064491935
4.4,0.9,52.0,-8.96048888436053,-5.027766997576691,-45.8974895325955
4.4,0.8,52.0,-8.53547385125421,-0.586568737635389,-35.31503288028762
4.7,0.9,52.0,-10.277648062212393,-7.622298709000461,-56.35518966685049
4.4,1.0,52.0,-9.318630176654551,-7.188893867307343,-51.65230844123289
4.7,1.2,52.0,-10.51341674674768,-6.399670775048435,-54.85300853708759
4.8,1.2,52.0,-10.012913515849505,-5.992072909604758,-52.035799882607535
4.7,1.1,52.0,-10.478546643571462,-7.190767612075433,-56.295721798436716
4.7,1.0,52.0,-10.399547527136747,-7.733367978944443,-57.06492606643587
4.8,0.7,52.0,-9.596256288408767,-4.869557921192609,-48.12414099602029
4.8,1.1,52.0,-9.99630144360708,-6.819295497261919,-53.62379676895216
4.8,0.9,52.0,-9.862151728360914,-7.792327563627623,-55.0332620406989
4.5,0.9,52.0,-10.036460828559939,-6.319144926732406,-52.78413316770457
4.6,0.9,52.0,-10.397493686992675,-7.157257322920486,-55.90448939381167
4.5,0.8,52.0,-9.720311250421219,-3.090391368488781,-45.06202773866244
4.5,0.7,52.0,-9.362877789302729,2.8815798858413473,-31.68835138552822
4.6,1.0,52.0,-10.578177033807151,-7.794432232039981,-57.901572599308565
4.6,0.8,52.0,-10.16978160321014,-4.949345817789435,-50.57781804841943
4.5,1.2,52.0,-10.60603722295491,-7.173142111278139,-56.77043311437592
4.6,1.1,52.0,-10.704981744522229,-7.506238224450499,-57.83240342698991
4.4,1.2,52.0,-9.76126506307628,-7.492273616953753,-54.029607486212626
4.5,1.1,52.0,-10.490436075662728,-7.725765067851171,-57.413274438353255
4.6,0.7,52.0,-9.903637669282034,-0.44136543362401426,-40.497281544376165
4.5,1.0,52.0,-10.297274692391511,-7.637264822493307,-56.46362841455266
4.7,1.1,53.0,-10.562932305852883,-6.853015374857932,-55.957759973127395
4.5,0.8,53.0,-9.623603801825084,-5.252794593572617,-49.00000439444557
4.4,0.9,53.0,-8.71460787608521,-6.523403196944855,-47.90523789823055
4.7,0.9,53.0,-10.36821344285272,-7.886597135802731,-57.246048043016344
4.7,1.2,53.0,-10.590203890635166,-6.0242503674235195,-54.409316297387704
4.7,1.0,53.0,-10.488470086769667,-7.567936262581497,-57.08975287224166
4.6,0.7,53.0,-9.910661388828885,-3.4266400919295847,-46.49592573917471
4.6,0.8,53.0,-10.185082807030994,-6.517605004482903,-53.77554123708978
4.8,1.1,53.0,-10.118020813330077,-6.443188593606465,-53.358460440533236
4.5,0.9,53.0,-9.94735817349283,-7.325571820372716,-54.44057633471675
4.8,0.7,53.0,-9.730389061034657,-6.511794261983596,-51.94514476810582
4.5,1.2,53.0,-10.4977214668761,-6.850729983183555,-55.692345833871514
4.6,0.9,53.0,-10.41752757114591,-7.752731682616286,-57.175573649816215
4.4,1.2,53.0,-9.477543319109827,-7.23481128399726,-52.37979584443383
4.4,0.8,53.0,-8.28029941971181,-3.4387259345967323,-39.9986495480407
4.5,1.0,53.0,-10.209310968057252,-7.8866636517923325,-56.610571175813675
4.6,1.2,53.0,-10.780252824130002,-6.440822880947962,-56.002657058415934
4.8,1.0,53.0,-10.073694134422112,-7.2389365347335115,-54.77264960715547
4.6,1.1,53.0,-10.721453882113565,-7.236874536960386,-57.35956460237503
4.8,0.9,53.0,-9.993631388642825,-7.802958837943152,-55.580443230457604
4.4,1.1,53.0,-9.331510446849279,-7.801023597014137,-52.92808898142539
4.7,0.7,53.0,-10.005001242272556,-5.24411738535855,-50.50823973980732
4.5,1.1,53.0,-10.39624305954203,-7.5662871663225815,-56.71754657081328
4.8,0.8,53.0,-9.878482676052954,-7.751206833287142,-55.0163443707861
4.6,1.0,53.0,-10.598829015507363,-7.80199372745119,-57.99930351693183
4.5,0.7,53.0,-9.25312315276824,-0.9535767462803051,-38.91964610363357
4.7,0.8,53.0,-10.205389657989144,-7.322146870661527,-55.46585237327963
4.4,0.7,53.0,-7.791154119884595,2.3108294203411788,-26.542957638856024
4.8,1.2,53.0,-10.12758594827028,-5.613053104607388,-51.736450002295896
4.4,1.0,53.0,-9.071707501716446,-7.7542439815588295,-51.795317969983444
4.8,0.7,54.0,-9.854767818120308,-7.4986014276510105,-54.416274127783254
4.8,0.8,54.0,-10.00224710087059,-7.9682663071434945,-55.94552101776935
4.5,0.9,54.0,-9.833345881663263,-7.85972590255551,-55.05283533176407
4.5,1.2,54.0,-10.351175918942317,-6.494714694679715,-54.3941330651287
4.7,1.2,54.0,-10.649578259210102,-5.649823935702443,-53.897960908245295
4.4,0.7,54.0,-7.493234962166753,-1.3305006679147482,-32.63394118449651
4.8,0.9,54.0,-10.114870713150594,-7.609139824286103,-55.677762501174584
4.5,1.1,54.0,-10.269171029445715,-7.292156912852079,-55.66099794348702
4.4,0.9,54.0,-8.436798531271052,-7.456405145348981,-48.66000441578217
4.7,1.1,54.0,-10.631481498421635,-6.478841201751493,-55.48360839718953
4.8,1.0,54.0,-10.190518298652023,-6.882729228120297,-54.52753165084869
4.6,1.1,54.0,-10.714892009971663,-6.898100713151507,-56.65576946618967
4.6,1.2,54.0,-10.761412463965826,-6.069506388506852,-55.18466263287701
4.5,1.0,54.0,-10.092889037798159,-7.869235189049505,-56.110026529291645
4.4,1.2,54.0,-9.140558526385576,-6.913434547372162,-50.38910320028663
4.7,0.7,54.0,-10.077741573913954,-6.747138122445904,-53.805242540547624
4.6,1.0,54.0,-10.598842820618302,-7.620542935910635,-57.636457154294476
4.7,0.8,54.0,-10.281479010649491,-7.868591364007443,-56.86309877061285
4.5,0.7,54.0,-9.122495650954079,-3.7643094981322065,-44.01860160008073
4.4,0.8,54.0,-7.99769778130576,-5.477863605134189,-42.94651833549142
4.8,1.2,54.0,-10.230569751758594,-5.242236110381782,-51.40675122779794
4.6,0.9,54.0,-10.418761883396655,-7.968836086336523,-57.61271970625967
4.7,0.9,54.0,-10.444879477028735,-7.8622221373952925,-57.503962182905525
4.6,0.8,54.0,-10.182732154557016,-7.477768095675856,-55.686464809579775
4.7,1.0,54.0,-10.562703264702577,-7.27818728517741,-56.80718762916513
4.5,0.8,54.0,-9.504489853512496,-6.710635865689255,-51.439231145428494
4.8,1.1,54.0,-10.228836569178384,-6.053657996119,-53.022662268951535
4.6,0.7,54.0,-9.900756770919543,-5.533403260400519,-50.66983360447921
4.4,1.0,54.0,-8.78674391558161,-7.969108425662853,-51.085192513652146
4.4,1.1,54.0,-9.026656048779842,-7.631825565593317,-51.370275326306
4.8,1.1,55.0,-10.327755990554579,-5.666260932572186,-52.643545827362686
4.8,1.0,55.0,-10.296134506585076,-6.49309822905343,-54.170734484447166
4.8,0.9,55.0,-10.225184461043682,-7.29649551701732,-55.49372887820937
4.6,0.9,55.0,-10.400256613444071,-7.921282123541459,-57.443590700859204
4.8,0.7,55.0,-9.968849136028439,-7.980209077592008,-55.83581469929777
4.4,0.7,55.0,-7.171030540077481,-4.004172685323283,-36.69246753095649
4.4,0.8,55.0,-7.68682054214878,-6.851838165894151,-44.45095850038342
4.4,0.9,55.0,-8.125037130666897,-7.947528356919065,-48.39520523650572
4.4,1.0,55.0,-8.460555432422552,-7.9370112891774625,-49.716244308045134
4.4,1.1,55.0,-8.67245991184609,-7.357264840393327,-49.404369328171015
4.4,1.2,55.0,-8.746236889972351,-6.561540744733065,-48.10802904935554
4.5,0.7,55.0,-8.97116533969529,-5.747518457472324,-47.37969827372581
4.5,0.8,55.0,-9.362498145841528,-7.598280136240646,-52.6465528558474
4.5,0.9,55.0,-9.693126262107398,-8.042702798498794,-54.85791064542718
4.5,1.0,55.0,-9.945909880509134,-7.679236456286162,-55.14211243460886
4.5,1.1,55.0,-10.106138283852488,-6.955029675387777,-54.334612486185506
4.5,1.2,55.0,-10.162663129798602,-6.127970867790282,-52.90659425477497
4.6,0.7,55.0,-9.873815884115174,-6.926815570797771,-53.34889467805624
4.6,0.8,55.0,-10.162343099655118,-7.964779234258458,-56.57893086713739
4.6,1.0,55.0,-10.57672309310874,-7.3270389386452734,-56.960970249725506
4.6,1.1,55.0,-10.68317263451172,-6.5273376846453175,-55.78736590733752
4.6,1.2,55.0,-10.713717938750051,-5.699644464650191,-54.25416068430059
4.7,0.7,55.0,-10.137106529902667,-7.6398614587960765,-55.82814903720282
4.7,0.8,55.0,-10.343687842017971,-8.039979405119084,-57.45471017831005
4.7,0.9,55.0,-10.506915115693118,-7.654220770171378,-57.33610200311523
4.7,1.0,55.0,-10.621191589336377,-6.921844436554238,-56.32845523045398
4.7,1.1,55.0,-10.682698864548001,-6.093816126231104,-54.918427710654214
4.7,1.2,55.0,-10.689762744586915,-5.283639219938777,-53.326329418225214
4.8,0.8,55.0,-10.115446767420508,-7.9046518536051735,-56.27109077689238
4.8,1.2,55.0,-10.320642537320964,-4.884670872241259,-51.05191189376637
